country_name,capital,capital_population
کوراسائو (هلند),ویلمستاد,49885
سنت وینسنت و گرنادین‌ها,کینگستون,40020
ساموآ,آپیا,39813
وانواتو,پورت ویلا,38000
موناکو,موناکو,35986
گامبیا,بانجول,34828
کیریباتی,تاراوا,30000
آروبا (اورنجستاد),اورنجستاد,29998
سیشل,ویکتوریا,29298
جبل طارق (بریتانیا),جبل طارق,29286
جرزی (بریتانیا),سن هلیه,28380
برونئی,بندر سری بگاوان,28135
جزایر کیمن (بریتانیا),جرج تاون,26798
جزیره من (بریتانیا),دوگلاس,26600
پلی‌نزی فرانسه (فرانسه),پاپیته,26200
کرانه باختری رود اردن (اسرائیل/حکومت خودگردان فلسطین),رام‌الله (دفاکتو),25500
جزایر مارشال,ماجورو,25400
آندورا,آندورا لاولا,22884
آنتیگوآ و باربودا,سنت جانز,22679
تونگا,نوکوآلوفا,22400
جزایر فارو (دانمارک),توشهاون,18573
گرنزی (بریتانیا),سن پتر پورت,16701
بلیز,بلموپان,16451
گرینلند (دانمارک),نوک,15469
دومینیکا,روسو,14847
سنت کیتس و نویس,باستر,13043
جزایر آلند (فنلاند),ماریهام,11296
جزایر ویرجین ایالات متحده (ایالات متحده),شارلوت آمالی,10817
ایالات فدرال میکرونزی,پالیکیر,9900
جزایر ویرجین بریتانیا (بریتانیا),رود تاون,9400
گرنادا,سینت‌جورجس,7500
مالت,والتا,6444
سنت بارثلمی (فرانسه),گوستاویا,6000
سنت مارتین فرانسه (فرانسه),ماریگو,5700
سنت پیر و ماژلان (فرانسه),"سن پیر، سن-پیر-ا-میکلون",5509
جزایر کوک (نیوزیلند),آواروآ,5445
لیختن‌اشتاین,فادوتس,5248
سان مارینو,سان مارینو,4493
تووالو,فونافوتی,4492
جزایر تورکس و کایکوس (بریتانیا),"کوک برن تاون، باهاما",3700
جزایر فالکلند (بریتانیا),نوحی 2115[91],
سوالبارد (نروژ),لانگیربین,2075
جزیره کریسمس (استرالیا),فلاینگ فیش کاو,1493
سنت مارتین (هلند),"فیلیپسبورگ، سینت مارتن",1338
والیس و فوتونا (فرانسه),ماتا-اوتو,1191
آنگویلا (بریتانیا),د ولی,1169
نائورو,یارن (دفاکتو),1100
گوآم (ایالات متحده),هاگاتنیا,1100
برمودا (بریتانیا),همیلتون,1010
جزیره نورفولک (استرالیا),کینگستون,880
واتیکان,واتیکان (دولت‌شهر),453
سینت هلینا (بریتانیا),"جیمزتاون، سینت هلینا",714
نیووی (نیوزیلند),الوفی,616
توکلائو (نیوزیلند),اتافو,524
مونتسرات (بریتانیا),بریدز (دفاکتو),391
پالائو,نگرولمود,391
جزایر کوکوس (استرالیا),"وست آیلند، جزایر کوکوس",120
جزایر پیت‌کرن (بریتانیا),"ادمزتون، پیتکرن ایسلند",40
جورجیای جنوبی و جزایر ساندویچ جنوبی (بریتانیا),کینگ ادوارو پوینت,23
